PartitionMovement,InstancePartitionCount,ResourcePartitionCount,ResourceTopStateCount,MaxCapacityKeyUsage,evenness,movements
34.0,72.0,91.0,81.0,17.0,1.095897,0.22962964
8.0,36.0,15.0,96.0,0.0,0.58851504,0.37777779
56.0,61.0,45.0,60.0,9.0,1.5978602,0.1037037
88.0,35.0,87.0,75.0,43.0,2.1355646,0.0
17.0,47.0,89.0,64.0,13.0,1.0590042,0.23703703
34.0,45.0,14.0,52.0,28.0,1.7187426,0.22222222
59.0,99.0,45.0,1.0,6.0,1.610521,0.11851852
96.0,45.0,11.0,80.0,53.0,1.8159453,0.0
84.0,82.0,46.0,81.0,35.0,1.6610104,0.074074075
97.0,46.0,96.0,35.0,79.0,2.49272,0.0
83.0,77.0,25.0,28.0,69.0,2.5047917,0.0
41.0,93.0,10.0,20.0,98.0,1.1495678,0.22962964
41.0,89.0,57.0,82.0,46.0,0.7529744,0.22962964
52.0,27.0,51.0,95.0,94.0,1.9676485,0.11111111
21.0,88.0,87.0,87.0,74.0,0.7901445,0.31851852
94.0,89.0,91.0,30.0,70.0,2.021757,0.02962963
68.0,27.0,13.0,49.0,10.0,1.7365654,0.0
65.0,81.0,51.0,94.0,53.0,1.5162948,0.22222222
16.0,25.0,33.0,22.0,51.0,1.2911867,0.22962964
77.0,86.0,20.0,90.0,9.0,2.2047307,0.11111111
11.0,27.0,7.0,48.0,46.0,1.2322401,0.24444444
64.0,37.0,57.0,73.0,1.0,2.2668145,0.02962963
43.0,53.0,53.0,15.0,86.0,2.0610876,0.074074075
26.0,39.0,36.0,51.0,26.0,0.8476914,0.22962964
31.0,9.0,8.0,86.0,21.0,1.8654003,0.11111111
24.0,72.0,6.0,48.0,21.0,1.4467531,0.22962964
70.0,76.0,27.0,53.0,1.0,2.215973,0.074074075
0.0,75.0,81.0,70.0,42.0,1.0783212,0.95555556
76.0,94.0,13.0,87.0,58.0,1.1387752,0.22222222
30.0,51.0,26.0,58.0,19.0,1.2719631,0.22962964
57.0,58.0,39.0,56.0,53.0,1.9961685,0.096296296
17.0,77.0,86.0,32.0,62.0,0.69607216,0.34074074
17.0,24.0,8.0,8.0,77.0,1.5372585,0.11111111
58.0,69.0,74.0,9.0,21.0,1.7171336,0.02962963
71.0,35.0,76.0,11.0,33.0,2.3270423,0.0
88.0,41.0,80.0,76.0,88.0,2.0472634,0.0
26.0,65.0,95.0,60.0,1.0,0.8745424,0.22962964
30.0,30.0,16.0,53.0,71.0,1.2486246,0.22222222
16.0,29.0,42.0,38.0,23.0,1.0568744,0.22962964
10.0,34.0,72.0,17.0,44.0,1.3670707,0.2962963
5.0,67.0,1.0,86.0,99.0,1.111007,0.37777779
75.0,39.0,16.0,18.0,31.0,2.578748,0.0
41.0,2.0,25.0,2.0,72.0,1.7794831,0.0
70.0,46.0,69.0,66.0,89.0,2.270206,0.02962963
68.0,5.0,21.0,78.0,27.0,2.989882,0.0
67.0,45.0,13.0,86.0,32.0,2.7448404,0.044444446
96.0,88.0,94.0,83.0,68.0,1.81278,0.074074075
38.0,20.0,70.0,89.0,23.0,1.9106786,0.1037037
80.0,16.0,72.0,77.0,1.0,2.25778,0.0
76.0,94.0,90.0,45.0,70.0,2.097962,0.1037037
27.0,72.0,97.0,13.0,23.0,0.789334,0.24444444
58.0,45.0,25.0,16.0,96.0,2.4149227,0.0
35.0,0.0,35.0,77.0,59.0,1.3722553,0.0
85.0,24.0,84.0,39.0,6.0,1.9695936,0.0
28.0,9.0,91.0,12.0,53.0,1.8810112,0.074074075
24.0,58.0,93.0,15.0,20.0,2.1762798,0.22962964
64.0,69.0,2.0,56.0,81.0,2.3680456,0.074074075
22.0,48.0,72.0,84.0,8.0,1.6596218,0.22962964
68.0,50.0,13.0,50.0,82.0,2.5194573,0.0
17.0,18.0,48.0,48.0,1.0,1.0830894,0.22962964
2.0,10.0,23.0,91.0,4.0,0.7183409,0.37037036
19.0,67.0,50.0,23.0,44.0,1.3756498,0.3037037
41.0,60.0,18.0,39.0,28.0,1.1500043,0.22222222
92.0,43.0,27.0,15.0,86.0,2.2272105,0.0
74.0,68.0,15.0,14.0,31.0,2.557029,0.0
2.0,55.0,11.0,74.0,71.0,0.4310898,0.37777779
66.0,46.0,23.0,19.0,46.0,1.7470353,0.0
19.0,67.0,95.0,3.0,53.0,1.3248821,0.2962963
2.0,90.0,67.0,78.0,6.0,1.3264643,0.37037036
56.0,46.0,86.0,95.0,84.0,1.4627442,0.1037037
39.0,78.0,96.0,12.0,54.0,0.8547858,0.22962964
