PartitionMovement,InstancePartitionCount,ResourcePartitionCount,ResourceTopStateCount,MaxCapacityKeyUsage,evenness,movements
58.0,16.0,17.0,18.0,38.0,2.9335566,0.0
12.0,30.0,23.0,73.0,86.0,1.535968,0.22962964
17.0,74.0,8.0,72.0,81.0,1.2299308,0.37777779
65.0,76.0,33.0,85.0,34.0,1.3151599,0.22222222
36.0,58.0,22.0,8.0,1.0,2.444144,0.11851852
68.0,89.0,45.0,52.0,76.0,1.8100636,0.1037037
27.0,29.0,71.0,3.0,17.0,1.5658939,0.08148148
96.0,50.0,83.0,3.0,33.0,2.8917058,0.0
73.0,73.0,18.0,60.0,39.0,1.9078406,0.044444446
87.0,38.0,84.0,52.0,71.0,2.2797372,0.0
56.0,71.0,73.0,89.0,32.0,1.3783536,0.22222222
78.0,60.0,57.0,23.0,12.0,2.2440715,0.0
16.0,83.0,60.0,25.0,69.0,0.5299908,0.37037036
62.0,64.0,60.0,64.0,92.0,1.6292527,0.1037037
45.0,0.0,34.0,74.0,47.0,1.8061494,0.0
37.0,68.0,14.0,20.0,87.0,1.4419032,0.22962964
64.0,86.0,94.0,76.0,66.0,1.434231,0.22962964
14.0,37.0,16.0,81.0,54.0,1.4210382,0.24444444
97.0,75.0,37.0,79.0,98.0,2.2776551,0.0
27.0,41.0,9.0,30.0,79.0,1.5631658,0.22222222
36.0,99.0,8.0,7.0,95.0,0.9874633,0.22962964
19.0,63.0,10.0,97.0,54.0,1.4220048,0.24444444
0.0,4.0,12.0,91.0,48.0,0.756324,0.95555556
54.0,51.0,34.0,18.0,74.0,2.4832673,0.0
31.0,26.0,98.0,81.0,58.0,1.0839983,0.22962964
23.0,93.0,86.0,97.0,5.0,1.3668355,0.31851852
22.0,10.0,84.0,38.0,14.0,1.4729111,0.11111111
51.0,54.0,5.0,46.0,47.0,1.5350778,0.074074075
48.0,15.0,23.0,55.0,34.0,2.5124679,0.0
82.0,32.0,43.0,43.0,2.0,1.5292897,0.0
97.0,15.0,26.0,60.0,37.0,1.8250477,0.0
16.0,2.0,38.0,60.0,35.0,1.2333523,0.22222222
20.0,64.0,56.0,95.0,98.0,2.0305579,0.22962964
64.0,58.0,64.0,20.0,3.0,1.8466134,0.0
48.0,23.0,72.0,66.0,88.0,2.7723768,0.074074075
73.0,55.0,39.0,23.0,9.0,2.0054896,0.0
38.0,41.0,10.0,96.0,68.0,1.378168,0.22222222
19.0,97.0,70.0,49.0,3.0,0.5802694,0.37037036
81.0,2.0,73.0,44.0,90.0,2.2017288,0.0
69.0,15.0,86.0,29.0,5.0,2.393988,0.0
54.0,25.0,25.0,23.0,69.0,2.4659026,0.0
76.0,75.0,63.0,94.0,77.0,1.4984223,0.1037037
87.0,96.0,5.0,4.0,86.0,2.9567723,0.0
98.0,51.0,48.0,43.0,30.0,2.7540362,0.0
38.0,64.0,50.0,61.0,85.0,1.5004762,0.22962964
34.0,57.0,13.0,85.0,6.0,1.095392,0.22222222
9.0,8.0,57.0,67.0,79.0,1.2889628,0.23703703
32.0,27.0,2.0,25.0,83.0,1.656205,0.0
2.0,80.0,17.0,90.0,54.0,0.676404,0.37777779
41.0,89.0,64.0,87.0,99.0,1.5158284,0.22962964
39.0,64.0,35.0,66.0,75.0,1.1621478,0.22962964
45.0,45.0,33.0,7.0,63.0,1.595466,0.0
46.0,9.0,6.0,46.0,0.0,2.5342054,0.0
12.0,20.0,54.0,73.0,51.0,1.5531459,0.23703703
59.0,59.0,0.0,5.0,48.0,2.208199,0.0
75.0,56.0,34.0,4.0,28.0,2.1603909,0.0
16.0,43.0,11.0,45.0,56.0,1.0169387,0.23703703
36.0,23.0,24.0,41.0,8.0,1.9251127,0.02962963
42.0,25.0,31.0,74.0,55.0,1.5364178,0.11111111
55.0,60.0,18.0,26.0,25.0,2.5608094,0.022222223
64.0,78.0,30.0,72.0,66.0,1.709466,0.11111111
53.0,19.0,13.0,34.0,25.0,2.0368648,0.0
64.0,14.0,76.0,70.0,73.0,2.5750763,0.0
21.0,35.0,47.0,48.0,83.0,1.5626738,0.22962964
20.0,48.0,10.0,30.0,55.0,1.9648582,0.22962964
64.0,81.0,30.0,88.0,94.0,1.2271501,0.22222222
58.0,68.0,41.0,69.0,13.0,1.3300126,0.1037037
15.0,92.0,66.0,9.0,49.0,1.4009117,0.34074074
49.0,25.0,82.0,49.0,76.0,1.6211959,0.02962963
89.0,45.0,89.0,66.0,87.0,2.0927527,0.0
21.0,1.0,61.0,49.0,53.0,1.4409728,0.1037037
6.0,15.0,60.0,41.0,75.0,1.4275038,0.23703703
48.0,95.0,25.0,85.0,57.0,1.6997142,0.22962964
53.0,83.0,11.0,9.0,62.0,1.780365,0.074074075
93.0,43.0,19.0,86.0,61.0,1.6699996,0.0
61.0,60.0,36.0,15.0,2.0,1.9510721,0.0
84.0,45.0,0.0,50.0,24.0,2.8760064,0.0
82.0,89.0,91.0,44.0,51.0,1.4919229,0.074074075
51.0,85.0,86.0,65.0,0.0,0.934616,0.22962964
64.0,29.0,4.0,20.0,64.0,2.8235402,0.0
64.0,20.0,38.0,4.0,90.0,2.2996614,0.0
23.0,24.0,27.0,9.0,5.0,2.0309987,0.02962963
8.0,11.0,68.0,77.0,73.0,1.1655383,0.23703703
59.0,67.0,13.0,43.0,29.0,2.3932924,0.074074075
12.0,61.0,38.0,71.0,94.0,0.91136575,0.37037036
62.0,27.0,11.0,22.0,63.0,1.9954306,0.0
63.0,92.0,20.0,90.0,28.0,0.8904657,0.22222222
1.0,11.0,68.0,15.0,29.0,0.8667486,0.34814814
36.0,73.0,60.0,50.0,57.0,1.4745964,0.22962964
26.0,95.0,15.0,67.0,38.0,1.0860331,0.2962963
53.0,9.0,30.0,94.0,90.0,2.0360062,0.02962963
42.0,83.0,93.0,50.0,37.0,1.2355773,0.22962964
80.0,35.0,34.0,67.0,31.0,2.4806468,0.0
87.0,45.0,57.0,11.0,53.0,2.0570714,0.0
41.0,30.0,38.0,11.0,50.0,2.0932617,0.0
90.0,33.0,65.0,17.0,33.0,2.0120027,0.0
10.0,18.0,45.0,11.0,61.0,1.3264512,0.23703703
96.0,53.0,99.0,61.0,37.0,2.3881483,0.0
12.0,45.0,13.0,37.0,28.0,0.88646936,0.31111112
61.0,73.0,32.0,37.0,97.0,2.1358128,0.074074075
6.0,88.0,50.0,86.0,33.0,0.4960346,0.37777779
8.0,75.0,17.0,26.0,98.0,0.8130579,0.37777779
20.0,42.0,57.0,24.0,76.0,1.3184361,0.22962964
67.0,25.0,95.0,33.0,27.0,2.216283,0.0
19.0,62.0,76.0,95.0,5.0,1.384613,0.22962964
64.0,85.0,61.0,43.0,10.0,2.1404295,0.1037037
63.0,37.0,78.0,9.0,53.0,1.8130138,0.0
49.0,78.0,58.0,34.0,88.0,1.438372,0.22962964
80.0,2.0,37.0,75.0,81.0,1.9514754,0.0
64.0,30.0,72.0,21.0,44.0,1.646647,0.0
99.0,92.0,34.0,92.0,39.0,1.7528052,0.044444446
59.0,35.0,95.0,5.0,82.0,1.922132,0.0
70.0,37.0,2.0,42.0,59.0,2.0581565,0.0
89.0,12.0,85.0,83.0,19.0,1.9780695,0.0
19.0,14.0,71.0,61.0,38.0,0.960484,0.22962964
7.0,34.0,63.0,5.0,22.0,1.208525,0.34074074
58.0,63.0,61.0,20.0,8.0,1.9076732,0.02962963
38.0,53.0,52.0,73.0,93.0,1.7188272,0.22962964
31.0,20.0,5.0,29.0,68.0,3.0211067,0.0
38.0,72.0,93.0,16.0,54.0,1.1511242,0.22962964
84.0,76.0,52.0,77.0,67.0,1.9696096,0.074074075
59.0,12.0,19.0,82.0,78.0,2.1768699,0.0
78.0,24.0,95.0,28.0,83.0,1.5499808,0.0
89.0,11.0,9.0,18.0,4.0,2.2775702,0.0
31.0,56.0,54.0,26.0,85.0,0.9571277,0.22962964
23.0,31.0,79.0,76.0,15.0,1.2219952,0.22962964
9.0,36.0,32.0,54.0,2.0,0.6881216,0.31851852
83.0,2.0,27.0,32.0,84.0,2.2266374,0.0
62.0,11.0,47.0,28.0,8.0,2.2937949,0.0
35.0,27.0,38.0,18.0,17.0,2.1203284,0.02962963
0.0,4.0,22.0,73.0,81.0,0.71183527,0.95555556
56.0,43.0,17.0,30.0,47.0,3.4943767,0.0
96.0,15.0,51.0,29.0,65.0,3.0514562,0.0
72.0,43.0,40.0,17.0,45.0,2.639507,0.0
45.0,1.0,12.0,23.0,45.0,2.5762599,0.0
16.0,23.0,37.0,7.0,65.0,1.6101625,0.1037037
28.0,21.0,0.0,57.0,23.0,1.3866832,0.18518518
5.0,69.0,14.0,21.0,67.0,1.0606968,0.37777779
45.0,9.0,14.0,33.0,86.0,2.0853753,0.0
82.0,49.0,25.0,75.0,26.0,1.8783019,0.0
23.0,88.0,95.0,99.0,54.0,0.94320905,0.31851852
20.0,52.0,56.0,72.0,81.0,1.2358619,0.22962964
63.0,69.0,46.0,51.0,20.0,1.7160547,0.1037037
25.0,64.0,54.0,60.0,91.0,1.2124304,0.22962964
14.0,39.0,63.0,73.0,0.0,1.1424261,0.23703703
10.0,75.0,35.0,61.0,13.0,0.73270005,0.37777779
89.0,2.0,21.0,68.0,36.0,2.6697679,0.0
72.0,98.0,29.0,87.0,95.0,0.7673154,0.22222222
35.0,97.0,54.0,24.0,30.0,1.830158,0.22962964
33.0,5.0,74.0,11.0,74.0,2.2972643,0.0
91.0,28.0,43.0,51.0,51.0,2.4778385,0.0
88.0,83.0,20.0,13.0,88.0,2.6276057,0.0
63.0,99.0,89.0,37.0,18.0,1.2162178,0.22962964
69.0,12.0,83.0,49.0,23.0,2.276099,0.0
65.0,66.0,17.0,74.0,8.0,3.0048969,0.074074075
2.0,7.0,97.0,30.0,79.0,1.1457167,0.31851852
57.0,4.0,88.0,37.0,59.0,2.685579,0.0
42.0,75.0,7.0,74.0,65.0,1.393405,0.22962964
39.0,70.0,20.0,63.0,40.0,0.86921144,0.22962964
24.0,25.0,87.0,75.0,83.0,0.89996904,0.22962964
29.0,79.0,70.0,44.0,75.0,1.4590703,0.22962964
96.0,10.0,18.0,50.0,25.0,2.4919372,0.0
94.0,70.0,18.0,37.0,92.0,2.1493785,0.0
95.0,96.0,44.0,20.0,62.0,1.8524212,0.0
66.0,11.0,87.0,12.0,30.0,2.9837012,0.0
65.0,63.0,84.0,72.0,99.0,1.4912238,0.1037037
91.0,48.0,2.0,23.0,99.0,2.326463,0.0
2.0,95.0,30.0,0.0,99.0,1.1082579,0.37777779
55.0,14.0,32.0,47.0,92.0,1.6718029,0.0
85.0,60.0,48.0,73.0,43.0,2.301473,0.0
94.0,98.0,18.0,69.0,23.0,2.1593063,0.044444446
82.0,61.0,17.0,69.0,42.0,2.1463788,0.0
58.0,92.0,46.0,26.0,44.0,2.2405496,0.11851852
84.0,94.0,53.0,8.0,15.0,2.0158489,0.0
99.0,49.0,83.0,31.0,37.0,2.4906616,0.0
67.0,32.0,20.0,87.0,72.0,2.6160989,0.0
87.0,98.0,9.0,72.0,28.0,1.629918,0.074074075
58.0,3.0,94.0,56.0,51.0,2.2826612,0.0
35.0,28.0,52.0,92.0,83.0,1.316503,0.22222222
25.0,36.0,61.0,12.0,6.0,1.5925183,0.11111111
60.0,27.0,65.0,80.0,55.0,2.5460658,0.02962963
50.0,5.0,39.0,84.0,32.0,2.063143,0.0
39.0,41.0,3.0,27.0,5.0,1.7022972,0.044444446
90.0,82.0,89.0,81.0,90.0,1.7444621,0.074074075
68.0,62.0,50.0,91.0,18.0,1.7604053,0.11111111
25.0,47.0,90.0,33.0,38.0,1.2292644,0.22962964
20.0,24.0,78.0,86.0,44.0,1.210075,0.22962964
14.0,16.0,53.0,73.0,20.0,1.2694403,0.22962964
90.0,34.0,68.0,74.0,84.0,2.8683312,0.0
35.0,33.0,13.0,3.0,98.0,2.4104528,0.0
82.0,17.0,64.0,24.0,5.0,2.4383712,0.0
69.0,65.0,49.0,43.0,87.0,2.0982306,0.02962963
82.0,68.0,28.0,35.0,91.0,2.6474578,0.0
70.0,66.0,18.0,8.0,11.0,2.0514393,0.0
62.0,39.0,4.0,5.0,4.0,2.5624495,0.0
26.0,70.0,77.0,45.0,54.0,1.4074906,0.22962964
96.0,3.0,67.0,83.0,85.0,2.4932606,0.0
70.0,35.0,28.0,78.0,86.0,1.8185359,0.0
81.0,83.0,13.0,6.0,74.0,2.4237218,0.0
48.0,28.0,37.0,57.0,46.0,1.6069762,0.02962963
95.0,74.0,27.0,23.0,80.0,2.6227384,0.0
16.0,84.0,71.0,93.0,88.0,0.36165124,0.37037036
2.0,13.0,61.0,3.0,31.0,0.8695332,0.34814814
91.0,88.0,88.0,97.0,7.0,2.439589,0.1037037
84.0,98.0,26.0,85.0,86.0,1.7337958,0.11111111
56.0,59.0,76.0,16.0,35.0,2.241976,0.02962963
16.0,45.0,59.0,96.0,41.0,1.3803104,0.22962964
69.0,15.0,49.0,44.0,22.0,1.7743134,0.0
27.0,90.0,52.0,3.0,51.0,0.9866207,0.22962964
86.0,50.0,52.0,95.0,92.0,3.1019611,0.02962963
37.0,12.0,80.0,81.0,4.0,1.8651,0.1037037
69.0,43.0,4.0,8.0,51.0,1.9319718,0.0
22.0,76.0,98.0,19.0,46.0,1.09445,0.2962963
0.0,23.0,48.0,19.0,64.0,0.5275897,0.94074076
13.0,80.0,83.0,34.0,83.0,0.6140174,0.37037036
14.0,43.0,25.0,54.0,63.0,1.0148557,0.24444444
56.0,10.0,66.0,7.0,90.0,2.179569,0.0
76.0,17.0,27.0,79.0,22.0,2.432002,0.0
74.0,84.0,50.0,48.0,77.0,2.190527,0.074074075
65.0,1.0,95.0,5.0,90.0,2.3665302,0.0
53.0,89.0,16.0,90.0,84.0,1.3729414,0.22222222
65.0,47.0,94.0,28.0,54.0,2.1027713,0.02962963
92.0,92.0,4.0,87.0,54.0,2.0963004,0.044444446
31.0,82.0,57.0,82.0,60.0,1.5681136,0.22962964
3.0,58.0,51.0,57.0,18.0,0.990206,0.37777779
7.0,85.0,66.0,74.0,45.0,0.7779606,0.37037036
25.0,3.0,6.0,20.0,65.0,1.7088753,0.0
13.0,63.0,29.0,89.0,47.0,0.95581394,0.37777779
25.0,93.0,98.0,75.0,91.0,0.96716845,0.2962963
45.0,83.0,44.0,4.0,63.0,1.1671393,0.22962964
19.0,25.0,41.0,22.0,36.0,1.0486904,0.22962964
53.0,66.0,22.0,91.0,4.0,1.3974864,0.22222222
20.0,54.0,69.0,68.0,71.0,0.9169122,0.22962964
13.0,20.0,39.0,85.0,25.0,1.4258039,0.22962964
56.0,74.0,94.0,78.0,46.0,1.0664309,0.22962964
29.0,37.0,47.0,92.0,54.0,0.8512561,0.22962964
82.0,27.0,69.0,28.0,52.0,2.5080194,0.0
64.0,11.0,87.0,17.0,31.0,2.6469712,0.0
52.0,65.0,67.0,85.0,3.0,1.5095648,0.22222222
14.0,32.0,65.0,3.0,46.0,1.8875754,0.23703703
35.0,42.0,54.0,10.0,89.0,1.8494434,0.08148148
96.0,67.0,0.0,81.0,34.0,1.9286227,0.0
51.0,0.0,82.0,50.0,62.0,2.2764654,0.0
54.0,73.0,86.0,35.0,14.0,1.3315434,0.11111111
2.0,49.0,60.0,95.0,5.0,0.3428265,0.37037036
61.0,32.0,8.0,82.0,56.0,2.2859676,0.0
8.0,32.0,94.0,15.0,73.0,1.5145748,0.2962963
33.0,37.0,86.0,41.0,82.0,2.3994157,0.1037037
94.0,80.0,14.0,71.0,18.0,1.9001017,0.0
21.0,11.0,39.0,85.0,4.0,1.2771455,0.22222222
39.0,69.0,98.0,97.0,50.0,1.0914427,0.22962964
51.0,57.0,22.0,84.0,59.0,1.1166123,0.22222222
88.0,15.0,50.0,25.0,62.0,2.0060523,0.0
57.0,81.0,98.0,66.0,81.0,1.1111426,0.22962964
78.0,39.0,75.0,75.0,56.0,2.152093,0.0
76.0,29.0,56.0,11.0,67.0,2.596312,0.0
61.0,49.0,21.0,1.0,98.0,1.9792106,0.0
75.0,67.0,28.0,29.0,24.0,2.104026,0.0
30.0,20.0,53.0,74.0,45.0,1.4051102,0.22222222
11.0,17.0,95.0,60.0,47.0,0.89861465,0.23703703
60.0,36.0,74.0,42.0,68.0,2.3191776,0.02962963
9.0,84.0,72.0,79.0,58.0,1.1854497,0.37037036
15.0,94.0,47.0,60.0,3.0,0.39763635,0.37777779
13.0,17.0,16.0,92.0,58.0,1.7803495,0.22222222
9.0,82.0,60.0,16.0,61.0,0.49736074,0.37037036
40.0,16.0,93.0,73.0,58.0,1.8091408,0.096296296
63.0,31.0,18.0,16.0,25.0,2.8685143,0.0
46.0,28.0,26.0,73.0,14.0,1.9235889,0.074074075
81.0,98.0,37.0,28.0,28.0,2.7446132,0.022222223
52.0,42.0,21.0,16.0,48.0,2.5936313,0.0
36.0,74.0,32.0,81.0,64.0,1.4926717,0.22962964
45.0,12.0,78.0,79.0,69.0,1.9467586,0.074074075
57.0,49.0,5.0,49.0,76.0,2.5012608,0.0
16.0,67.0,49.0,56.0,47.0,1.0878241,0.31851852
14.0,60.0,33.0,24.0,37.0,0.8422483,0.38518518
76.0,29.0,5.0,56.0,99.0,2.2908893,0.0
8.0,45.0,27.0,6.0,19.0,0.6705423,0.37037036
94.0,13.0,10.0,65.0,10.0,2.085577,0.0
62.0,32.0,43.0,44.0,20.0,2.0970716,0.0
71.0,83.0,48.0,57.0,71.0,1.8518425,0.11111111
39.0,6.0,40.0,47.0,62.0,2.5696917,0.0
83.0,64.0,53.0,37.0,50.0,2.0712874,0.0
45.0,7.0,69.0,41.0,17.0,2.6523376,0.0
18.0,24.0,82.0,46.0,2.0,1.2563323,0.23703703
95.0,15.0,17.0,37.0,94.0,2.5573914,0.0
5.0,15.0,68.0,28.0,47.0,1.3349367,0.23703703
58.0,75.0,36.0,91.0,46.0,1.14076,0.22222222
82.0,3.0,96.0,15.0,94.0,2.9671395,0.0
21.0,25.0,59.0,71.0,48.0,1.1185714,0.22962964
79.0,83.0,6.0,91.0,81.0,1.6308383,0.074074075
44.0,47.0,44.0,41.0,85.0,2.0499063,0.1037037
24.0,62.0,59.0,48.0,55.0,1.3453946,0.22962964
86.0,88.0,85.0,93.0,27.0,1.8646065,0.1037037
64.0,76.0,73.0,75.0,31.0,1.4073913,0.1037037
72.0,38.0,5.0,50.0,33.0,2.9962752,0.0
65.0,90.0,48.0,66.0,54.0,0.7193013,0.22222222
31.0,57.0,7.0,87.0,81.0,1.3300904,0.22962964
99.0,98.0,46.0,86.0,3.0,2.1004303,0.074074075
37.0,96.0,39.0,36.0,21.0,1.5457852,0.22962964
17.0,62.0,32.0,11.0,44.0,1.0921508,0.2962963
86.0,75.0,79.0,77.0,32.0,2.4902124,0.02962963
34.0,38.0,30.0,42.0,57.0,2.8602996,0.096296296
57.0,49.0,12.0,53.0,84.0,2.2298682,0.022222223
97.0,51.0,57.0,35.0,45.0,2.1045876,0.0
75.0,22.0,36.0,7.0,89.0,2.3137314,0.0
69.0,49.0,10.0,71.0,47.0,2.2849946,0.0
56.0,29.0,19.0,72.0,42.0,2.6607716,0.0
64.0,16.0,47.0,32.0,9.0,2.465976,0.0
24.0,81.0,94.0,13.0,30.0,1.1438485,0.2962963
66.0,27.0,12.0,19.0,88.0,2.090917,0.0
56.0,7.0,36.0,82.0,10.0,2.0341,0.0
44.0,18.0,25.0,54.0,78.0,2.2106848,0.0
21.0,13.0,66.0,6.0,52.0,2.6742811,0.08148148
74.0,33.0,61.0,6.0,46.0,1.896941,0.0
33.0,67.0,91.0,56.0,9.0,1.2264318,0.22962964
74.0,57.0,5.0,98.0,72.0,1.9446919,0.044444446
41.0,1.0,94.0,99.0,82.0,1.9483734,0.1037037
36.0,73.0,58.0,75.0,32.0,1.199911,0.22962964
10.0,55.0,97.0,38.0,17.0,0.88971585,0.34074074
50.0,23.0,76.0,98.0,5.0,1.3699403,0.1037037
85.0,20.0,46.0,61.0,50.0,1.7711557,0.0
63.0,76.0,70.0,33.0,10.0,1.6578507,0.1037037
31.0,24.0,72.0,69.0,65.0,1.3306253,0.22222222
27.0,70.0,3.0,18.0,39.0,0.93201166,0.22962964
62.0,53.0,77.0,34.0,80.0,2.6695752,0.02962963
62.0,91.0,10.0,39.0,32.0,1.7358577,0.11111111
73.0,79.0,62.0,64.0,54.0,1.8644885,0.1037037
10.0,44.0,56.0,84.0,74.0,0.5188394,0.37777779
47.0,69.0,74.0,44.0,25.0,1.3002406,0.22962964
61.0,19.0,3.0,39.0,7.0,1.9374554,0.0
84.0,13.0,81.0,71.0,32.0,2.505005,0.0
59.0,70.0,62.0,90.0,29.0,1.604163,0.22222222
8.0,23.0,97.0,24.0,42.0,0.86575896,0.23703703
9.0,18.0,70.0,12.0,79.0,1.2136226,0.23703703
46.0,5.0,82.0,72.0,52.0,1.7485403,0.02962963
93.0,10.0,98.0,79.0,90.0,1.9087745,0.0
29.0,45.0,76.0,17.0,35.0,0.980775,0.22962964
19.0,8.0,12.0,30.0,51.0,2.2442217,0.02962963
8.0,20.0,47.0,62.0,71.0,1.2840937,0.23703703
9.0,76.0,0.0,75.0,1.0,0.7428089,0.35555556
74.0,88.0,75.0,83.0,91.0,1.968387,0.1037037
42.0,47.0,92.0,3.0,95.0,1.9647294,0.08148148
56.0,24.0,92.0,2.0,0.0,1.9089355,0.0
46.0,65.0,77.0,47.0,56.0,0.8759338,0.22962964
5.0,33.0,90.0,22.0,63.0,1.0046573,0.34074074
28.0,59.0,26.0,36.0,86.0,1.3089689,0.22962964
71.0,34.0,54.0,16.0,69.0,2.8034167,0.0
29.0,39.0,87.0,23.0,1.0,1.2390893,0.11111111
83.0,32.0,36.0,79.0,39.0,2.4964466,0.0
88.0,24.0,42.0,5.0,33.0,2.1574094,0.0
70.0,69.0,34.0,76.0,41.0,1.9438599,0.074074075
72.0,34.0,17.0,7.0,62.0,2.317094,0.0
84.0,42.0,67.0,37.0,90.0,2.5398662,0.0
76.0,60.0,79.0,7.0,49.0,2.1520603,0.0
26.0,58.0,26.0,60.0,81.0,1.4099766,0.22962964
60.0,53.0,69.0,37.0,11.0,2.233716,0.02962963
20.0,80.0,48.0,7.0,64.0,1.047788,0.2888889
17.0,97.0,18.0,50.0,41.0,0.85728085,0.37777779
43.0,25.0,17.0,5.0,37.0,2.3503602,0.0
89.0,75.0,32.0,78.0,22.0,2.0567021,0.022222223
19.0,86.0,55.0,39.0,83.0,1.5968502,0.37037036
58.0,0.0,23.0,92.0,65.0,1.695663,0.0
31.0,61.0,5.0,35.0,29.0,1.5273055,0.22962964
30.0,49.0,29.0,45.0,52.0,1.2460923,0.22962964
71.0,70.0,75.0,2.0,19.0,1.7731507,0.0
15.0,38.0,10.0,44.0,80.0,0.9466093,0.23703703
84.0,50.0,78.0,87.0,85.0,2.912346,0.02962963
33.0,93.0,2.0,85.0,70.0,1.380489,0.22962964
44.0,12.0,99.0,18.0,3.0,2.1649473,0.0
1.0,93.0,83.0,72.0,54.0,0.84784216,0.37037036
11.0,34.0,70.0,2.0,96.0,1.2904838,0.23703703
93.0,4.0,6.0,41.0,8.0,2.5612817,0.0
26.0,60.0,92.0,68.0,44.0,1.1451328,0.24444444
99.0,50.0,10.0,64.0,32.0,2.3371089,0.0
