PartitionMovement,InstancePartitionCount,ResourcePartitionCount,ResourceTopStateCount,MaxCapacityKeyUsage,evennessCV,movedToNewInstances,movedBetweenOldInstances,STBetweenOldInstances,maxResourceCount,maxPartitionCount,maxCapacityKeyUsage,maxTopStateUsage
60.0,58.0,54.0,92.0,52.0,0.9203363,15.0,15.0,15.0,0.8166335,0.81434584,0.9203363,0.76654536
21.0,21.0,9.0,15.0,25.0,1.1255246,3.0,3.0,3.0,0.9698388,0.9870759,1.1255246,1.0332797
47.0,8.0,50.0,12.0,50.0,1.1235483,0.0,0.0,0.0,1.0117869,1.0268064,1.1235483,1.0805936
48.0,44.0,31.0,96.0,25.0,0.7373272,30.0,30.0,30.0,0.63561344,0.62964344,0.7373272,0.5362322
7.0,87.0,16.0,43.0,21.0,0.5693373,45.0,45.0,45.0,0.44924074,0.40657547,0.5693373,0.2958271
90.0,35.0,75.0,2.0,39.0,1.1922668,0.0,0.0,0.0,1.0117869,1.0268064,1.1922668,1.0805936
12.0,62.0,68.0,26.0,57.0,0.59861386,45.0,45.0,45.0,0.44326732,0.4381489,0.59861386,0.49753258
64.0,41.0,32.0,15.0,77.0,1.0802696,0.0,0.0,0.0,1.0144362,1.0268064,1.0802696,1.0805936
47.0,98.0,43.0,53.0,35.0,0.7848691,31.0,31.0,31.0,0.59334385,0.6153619,0.7848691,0.55457014
68.0,11.0,15.0,55.0,100.0,1.0997542,0.0,0.0,0.0,1.0195383,1.0268064,1.0997542,1.0429142
64.0,71.0,28.0,34.0,63.0,1.0725467,3.0,3.0,3.0,0.9698388,0.9870759,1.0725467,1.0332797
1.0,45.0,14.0,33.0,17.0,0.6267034,45.0,45.0,45.0,0.44924074,0.40657547,0.6267034,0.2958271
38.0,79.0,16.0,7.0,73.0,0.7864746,31.0,31.0,31.0,0.59334385,0.6153619,0.7864745,0.55457014
43.0,40.0,25.0,81.0,68.0,0.754376,30.0,30.0,30.0,0.63561344,0.62964344,0.754376,0.5362322
38.0,19.0,95.0,37.0,61.0,1.0226542,10.0,10.0,10.0,0.8760166,0.89247596,1.0226542,0.88748133
94.0,44.0,69.0,9.0,55.0,1.1067793,0.0,0.0,0.0,1.0117869,1.0268064,1.1067793,1.0805936
7.0,94.0,38.0,73.0,52.0,0.5093981,45.0,45.0,45.0,0.44924074,0.40657547,0.5093981,0.2958271
79.0,53.0,56.0,85.0,16.0,1.0885087,4.0,4.0,4.0,0.95610726,0.9734722,1.0885087,1.0038214
57.0,39.0,69.0,26.0,80.0,1.0780243,0.0,0.0,0.0,1.0117869,1.0268064,1.0780243,1.0805936
27.0,50.0,74.0,16.0,84.0,0.7159288,31.0,31.0,31.0,0.604873,0.6153619,0.7159288,0.5362322
16.0,4.0,26.0,23.0,77.0,1.079536,4.0,4.0,4.0,0.95610726,0.9734722,1.079536,1.0038214
40.0,49.0,47.0,25.0,47.0,0.91139305,14.0,14.0,14.0,0.8296331,0.83056,0.91139305,0.7922109
2.0,39.0,17.0,75.0,72.0,0.5605458,45.0,45.0,45.0,0.44924074,0.40657547,0.5605458,0.2958271
64.0,51.0,75.0,10.0,43.0,1.1038474,0.0,0.0,0.0,1.0117869,1.0268064,1.1038474,1.0805936
71.0,86.0,39.0,95.0,61.0,0.78493,30.0,30.0,30.0,0.639369,0.62964344,0.78493,0.55457014
26.0,36.0,24.0,84.0,15.0,0.72089505,30.0,30.0,30.0,0.63561344,0.62964344,0.72089505,0.5362322
71.0,7.0,36.0,81.0,75.0,1.1032703,0.0,0.0,0.0,1.0195383,1.0268064,1.1032703,1.0429142
21.0,67.0,50.0,67.0,91.0,0.7328043,31.0,31.0,31.0,0.60657376,0.6080954,0.7328043,0.51724446
22.0,96.0,80.0,79.0,2.0,0.69995517,45.0,45.0,45.0,0.44924074,0.40657547,0.69995517,0.2958271
22.0,38.0,98.0,82.0,84.0,0.782493,31.0,31.0,31.0,0.6080954,0.6080954,0.782493,0.51724446
8.0,20.0,10.0,28.0,49.0,0.7721408,31.0,31.0,31.0,0.62982094,0.6080954,0.7721408,0.51724446
33.0,44.0,27.0,71.0,39.0,0.71436447,30.0,30.0,30.0,0.63561344,0.62964344,0.71436447,0.5362322
82.0,24.0,60.0,60.0,52.0,1.1374856,0.0,0.0,0.0,1.0117869,1.0268064,1.1374856,1.0805936
66.0,67.0,86.0,81.0,36.0,0.960003,14.0,14.0,14.0,0.8296331,0.83056,0.960003,0.7922109
51.0,40.0,76.0,62.0,98.0,0.9545477,12.0,12.0,12.0,0.8558694,0.8620741,0.9545477,0.84119594
70.0,27.0,4.0,56.0,35.0,1.1278396,0.0,0.0,0.0,1.0243523,1.0268064,1.1278396,1.0429142
75.0,17.0,100.0,50.0,16.0,1.0800904,0.0,0.0,0.0,1.0117869,1.0268064,1.0800904,1.0805936
81.0,91.0,65.0,62.0,40.0,0.9635065,14.0,14.0,14.0,0.8296331,0.83056,0.9635065,0.7922109
3.0,66.0,66.0,47.0,15.0,0.591474,45.0,45.0,45.0,0.4262506,0.40657547,0.591474,0.43304655
98.0,97.0,46.0,73.0,94.0,1.1233289,3.0,3.0,3.0,0.9698388,0.9870759,1.1233289,1.0332797
7.0,38.0,70.0,15.0,30.0,0.68358165,45.0,45.0,45.0,0.44817933,0.44817933,0.68358165,0.51724446
96.0,43.0,78.0,66.0,15.0,1.126235,0.0,0.0,0.0,1.0117869,1.0268064,1.126235,1.0805936
77.0,15.0,9.0,65.0,26.0,1.1125498,0.0,0.0,0.0,1.0195383,1.0268064,1.1125498,1.0429142
61.0,36.0,30.0,57.0,17.0,1.1415232,0.0,0.0,0.0,1.0195383,1.0268064,1.1415232,1.0429142
30.0,48.0,36.0,99.0,9.0,0.76052547,31.0,31.0,31.0,0.62216324,0.6080954,0.76052547,0.51724446
57.0,95.0,52.0,21.0,15.0,0.7823559,31.0,31.0,31.0,0.59334385,0.6153619,0.78235596,0.55457014
92.0,1.0,1.0,17.0,68.0,1.0874596,0.0,0.0,0.0,1.0195383,1.0268064,1.0874596,1.0429142
58.0,55.0,10.0,67.0,94.0,1.001359,10.0,10.0,10.0,0.88748133,0.88748133,1.001359,0.8761392
69.0,23.0,16.0,98.0,51.0,1.1048207,0.0,0.0,0.0,1.0195383,1.0268064,1.1048207,1.0429142
31.0,47.0,49.0,43.0,21.0,0.7359852,31.0,31.0,31.0,0.5986027,0.6080954,0.7359852,0.51724446
69.0,71.0,97.0,49.0,64.0,0.90802556,14.0,14.0,14.0,0.8296331,0.83056,0.9080255,0.7922109
