PartitionMovement,InstancePartitionCount,ResourcePartitionCount,ResourceTopStateCount,MaxCapacityKeyUsage,evennessCV,movedToNewInstances,movedBetweenOldInstances,STBetweenOldInstances,maxResourceCount,maxPartitionCount,maxCapacityKeyUsage,maxTopStateUsage
29.0,46.0,100.0,47.0,69.0,0.7751943,31.0,0.0,0.0,0.60657376,0.6080954,0.7751943,0.51724446
83.0,27.0,77.0,70.0,10.0,1.1071559,0.0,0.0,0.0,1.0117869,1.0268064,1.1071559,1.0805936
100.0,14.0,28.0,66.0,33.0,1.1158758,0.0,0.0,0.0,1.0195383,1.0268064,1.1158758,1.0429142
64.0,55.0,33.0,35.0,93.0,1.114069,0.0,0.0,0.0,1.0117869,1.0268064,1.114069,1.0805936
2.0,44.0,50.0,39.0,11.0,0.5885052,45.0,5.0,0.0,0.4262506,0.40657547,0.5885052,0.43304655
26.0,89.0,2.0,41.0,50.0,0.7338705,31.0,0.0,0.0,0.62579066,0.6080954,0.7338705,0.51724446
48.0,87.0,22.0,35.0,74.0,0.76468164,31.0,0.0,0.0,0.59334385,0.6153619,0.76468164,0.55457014
7.0,18.0,65.0,91.0,67.0,0.7576758,31.0,1.0,0.0,0.6080954,0.6080954,0.7576758,0.51724446
77.0,52.0,14.0,71.0,99.0,1.1495378,0.0,0.0,0.0,1.0243523,1.0268064,1.1495378,1.0429142
63.0,76.0,56.0,25.0,46.0,1.0743296,4.0,0.0,0.0,0.9583602,0.9734722,1.0743296,1.0038214
57.0,78.0,50.0,48.0,44.0,0.96908855,14.0,0.0,0.0,0.8296331,0.83056,0.96908855,0.7922109
4.0,39.0,69.0,100.0,100.0,0.6748935,45.0,5.0,1.0,0.44924074,0.40657547,0.6748935,0.2958271
60.0,52.0,53.0,6.0,43.0,1.0778817,0.0,0.0,0.0,1.0117869,1.0268064,1.0778817,1.0805936
57.0,45.0,87.0,84.0,82.0,0.8940761,14.0,0.0,0.0,0.8296331,0.83056,0.8940761,0.7922109
12.0,1.0,100.0,43.0,42.0,0.71887755,31.0,1.0,0.0,0.6080954,0.6080954,0.71887755,0.51724446
56.0,41.0,60.0,86.0,29.0,0.98413247,14.0,0.0,0.0,0.8296331,0.83056,0.98413247,0.7922109
24.0,49.0,73.0,93.0,91.0,0.7877479,31.0,0.0,0.0,0.60657376,0.6080954,0.7877479,0.51724446
81.0,46.0,14.0,65.0,40.0,1.0775913,0.0,0.0,0.0,1.0243523,1.0268064,1.0775913,1.0429142
70.0,54.0,62.0,70.0,8.0,1.0594039,4.0,0.0,0.0,0.95610726,0.9734722,1.0594039,1.0038214
100.0,77.0,52.0,60.0,44.0,1.1323668,0.0,0.0,0.0,1.0117869,1.0268064,1.1323668,1.0805936
68.0,1.0,95.0,91.0,81.0,1.1234137,0.0,0.0,0.0,1.0117869,1.0268064,1.1234137,1.0805936
40.0,95.0,59.0,18.0,41.0,0.75617236,31.0,0.0,0.0,0.5986027,0.6080954,0.75617236,0.51724446
41.0,41.0,3.0,36.0,60.0,1.0434753,6.0,0.0,0.0,0.94331264,0.94567776,1.0434753,0.92066956
81.0,22.0,43.0,51.0,56.0,1.1321499,0.0,0.0,0.0,1.0117869,1.0268064,1.1321499,1.0805936
85.0,8.0,18.0,61.0,19.0,1.1281489,0.0,0.0,0.0,1.0195383,1.0268064,1.1281489,1.0429142
94.0,73.0,80.0,57.0,55.0,1.089779,0.0,0.0,0.0,1.0144362,1.0268064,1.089779,1.0805936
54.0,76.0,86.0,2.0,59.0,1.0172246,11.0,0.0,0.0,0.8630078,0.8774067,1.0172246,0.8761392
90.0,100.0,10.0,55.0,36.0,1.0149308,6.0,0.0,0.0,0.94331264,0.94567776,1.0149308,0.92066956
21.0,11.0,47.0,64.0,41.0,0.7676276,30.0,0.0,0.0,0.61220497,0.62964344,0.7676276,0.5362322
79.0,55.0,83.0,1.0,52.0,1.1366557,0.0,0.0,0.0,1.0117869,1.0268064,1.1366557,1.0805936
91.0,31.0,96.0,13.0,21.0,1.0974404,0.0,0.0,0.0,1.0117869,1.0268064,1.0974404,1.0805936
68.0,48.0,50.0,49.0,77.0,1.105439,0.0,0.0,0.0,1.0117869,1.0268064,1.105439,1.0805936
9.0,5.0,36.0,62.0,17.0,0.6979759,31.0,0.0,0.0,0.60657376,0.6080954,0.6979759,0.51724446
90.0,85.0,35.0,21.0,8.0,1.098868,0.0,0.0,0.0,1.0117869,1.0268064,1.098868,1.0898099
3.0,6.0,95.0,88.0,70.0,0.6996832,31.0,3.0,0.0,0.6080954,0.6080954,0.6996832,0.51724446
29.0,64.0,23.0,62.0,46.0,0.69547373,31.0,0.0,0.0,0.62345934,0.6153619,0.6954737,0.5362322
20.0,40.0,39.0,72.0,1.0,0.7584336,31.0,0.0,0.0,0.62216324,0.6080954,0.7584336,0.51724446
49.0,85.0,15.0,7.0,93.0,0.93392766,16.0,0.0,0.0,0.80544037,0.8033546,0.93392766,0.77948374
23.0,90.0,29.0,62.0,94.0,0.6843572,35.0,7.0,0.0,0.5377714,0.5464959,0.6843572,0.43304655
29.0,89.0,23.0,34.0,37.0,0.8301823,31.0,0.0,0.0,0.5960888,0.6080954,0.8301823,0.5362322
95.0,32.0,48.0,19.0,46.0,1.1124225,0.0,0.0,0.0,1.0117869,1.0268064,1.1124225,1.0805936
69.0,45.0,75.0,51.0,70.0,1.0684769,4.0,0.0,0.0,0.95610726,0.9734722,1.0684769,1.0038214
26.0,8.0,92.0,99.0,24.0,0.7006842,31.0,0.0,0.0,0.5986027,0.6080954,0.7006842,0.51724446
30.0,96.0,67.0,93.0,25.0,0.74910104,31.0,0.0,0.0,0.60657376,0.6080954,0.74910104,0.51724446
6.0,98.0,34.0,99.0,12.0,0.6338952,45.0,6.0,0.0,0.44924074,0.40657547,0.6338952,0.2958271
78.0,37.0,80.0,48.0,96.0,1.1543069,0.0,0.0,0.0,1.0117869,1.0268064,1.1543069,1.0805936
83.0,92.0,26.0,4.0,61.0,1.0762618,0.0,0.0,0.0,1.0117869,1.0268064,1.0762618,1.0898099
11.0,1.0,72.0,22.0,61.0,0.94015825,15.0,0.0,0.0,0.8117762,0.81434584,0.94015825,0.77948374
