PartitionMovement,InstancePartitionCount,ResourcePartitionCount,ResourceTopStateCount,MaxCapacityKeyUsage,evenness,movements
65.0,18.0,34.0,97.0,2.0,1.043695922808325,0.03703703731298447
33.0,22.0,64.0,55.0,16.0,0.7043551707198052,0.21481481194496155
71.0,78.0,13.0,95.0,50.0,0.6978788652764257,0.2222222238779068
56.0,93.0,11.0,56.0,42.0,0.746416620560471,0.2370370328426361
94.0,86.0,65.0,46.0,17.0,1.019911931802878,0.07407407462596893
71.0,25.0,77.0,35.0,20.0,1.0641922228655798,0.0
10.0,10.0,76.0,88.0,54.0,0.6661287220275705,0.32592591643333435
89.0,30.0,77.0,30.0,19.0,1.1132894682690748,0.0
65.0,66.0,64.0,85.0,40.0,0.6599667345614082,0.2222222238779068
48.0,63.0,96.0,36.0,62.0,0.6471779623531304,0.28148147463798523
60.0,43.0,40.0,54.0,16.0,0.9968525114077008,0.07407407462596893
75.0,67.0,97.0,54.0,43.0,0.831500220785481,0.18518517911434174
59.0,6.0,53.0,68.0,8.0,1.0667120564370147,0.0
61.0,76.0,36.0,36.0,67.0,0.6718293741692246,0.17777778208255768
89.0,84.0,1.0,12.0,40.0,1.0911878091518883,0.0
48.0,86.0,99.0,32.0,28.0,0.6055584445929924,0.2888889014720917
1.0,0.0,3.0,97.0,25.0,0.7435305958413436,0.2888889014720917
24.0,88.0,27.0,57.0,40.0,0.5698860060193859,0.29629629850387573
98.0,58.0,8.0,3.0,83.0,1.0919498335020925,0.0
70.0,94.0,36.0,15.0,67.0,0.8654262700824114,0.14074073731899261
86.0,82.0,46.0,97.0,35.0,0.8964652764344514,0.14074073731899261
83.0,64.0,60.0,85.0,62.0,0.8825190582413042,0.10370370000600815
40.0,49.0,30.0,47.0,45.0,0.6917617209366229,0.2222222238779068
24.0,66.0,34.0,64.0,34.0,0.5929400043894948,0.32592591643333435
22.0,11.0,77.0,31.0,89.0,0.7509698246633237,0.2222222238779068
92.0,20.0,47.0,43.0,40.0,1.1100038060080704,0.0
